Company Name,Company Name2,Company Name
EngSoc,Top 10 global leader advancing UN Sustainable Development Goals through research and innovation.,
Republic Services,Committed to sustainable waste management for a greener future.,
Sightline Climate,Data-driven platform empowering investment and innovation in the new climate economy.,
Revoluci0n Energía,Revolutionizing disaster management for climate resilience with AI-powered wildfire detection.,
ExpoCasa,Network connecting stakeholders for sustainable infrastructure development and operational expertise.,
Oslo,Oslo's mission is to provide clean reliable affordable energy through the deployment of next-generation fast fission technology.,
Trex,Trex bicycle companies diverse teams to revolutionize cycling for a sustainable future.,
Equilibrium Energy,Accelerating clean energy with data-driven solutions to significantly reduce global carbon emissions.,
benctola,Accelerating America's clean energy transition with sustainable power and industry leading ethical practices.,
EcoVolta,Empowering the grid with large-scale battery energy storage to enhance sustainability.,
Terracycle,Transforming unrecyclable waste into eco-friendly products from ocean plastics to playgrounds.,
RecycleTrack Systems,Revolutionizing waste management technology for efficient eco-friendly solutions with real-time tracking for sustainability.,
Institute for Energy Efficiency,Accelerating the transition to a sustainable and diverse energy economy.,
CAD Cities,Leading the cities for bold climate action and a sustainable healthier future.,
IndustrEV,Revolutionizing commercial fleets with AI-driven wireless power for a sustainable carbon-reduced future.,
Roadrunner Recycling,Revolutionizing sustainable waste management for businesses with tech-driven cost-saving solutions.,
Encapto,Empowering businesses with tech for seamless environmental compliance and global reforestation.,
Karen Clark & Company,Innovative catastrophe risk modeling tools for climate resilience and disaster preparedness.,
Klima,Climate action platform connecting individuals to verified offset projects for a sustainable future.,
Resource Innovations,Empowering communities with accessible sustainable energy and water solutions.,
Pine Gate Renewables,Driving large-scale North American solar-energy finance for sustainable future.,
Redwood Materials,Closed-loop domestic lithium-ion battery supply chain using recycled batteries to reduce environmental impact.,
The EVERY Company,Revolutionizing food with eco-friendly animal-free proteins using significantly less land water and emissions.,
Aeroton,Transforming North America's energy with innovative renewable solutions to reduce planetary impact.,
RisP,Eco-friendly dockless electric scooters revolutionizing urban transportation.,
PiP,AI-powered energy management platform optimizing renewable energy for maximum efficiency and sustainability.,
Sparkfund,Transforming buildings into valuable grid supportive assets for a sustainable energy future.,
Sapphire Creek Development,Developing 12GW of solar energy for a cleaner safer and better world.,
Thrive Market,Promoting healthy sustainable living while being zero waste and Climate Neutral Certified.,
Deep Sky,Reversing climate change with renewable-powered carbon removal and long-term storage.,
Zen Ecosystem,Smart energy management solutions to cut bills and boost efficiency for homes and businesses.,
Ecobiq,Search the web and find tree-planting with a CO2-neutral search engine.,
Cognite,Industrial software and AI solutions enabling efficient operations and driving energy and sustainable practices.,
Omnidian,Empowering sustainable energy with 24/7 solar system monitoring and advanced diagnostics.,
ClimateWorks Foundation,Amplifying philanthropic power to combat global climate change.,
Applied Intuition,Accelerating safe intelligent machines for a sustainable future in transport and construction.,
Arctos Solar,Empowering solar adoption with AI-driven platform for a sustainable future.,
Energy.gov,Pioneering cleaner greener brighter futures through extensive solar energy projects across North America.,
Apollo,Innovative capital solutions for growth in AI-focus on sustainable and impactful investing.,
Wadekar,Streamlining renewable energy asset management with tech-driven efficiency and optimization.,
Dynapower,Power electronics insider driving a resilient clean energy future through innovative power conversion and storage solutions.,
GT Environmental,Committed to sustainable waste management and soil remediation for a greener future.,
C&D Technologies,Empowering critical operations with eco-friendly power systems and sustainable energy solutions.,
The Environment Strategy Group,AI and connected solutions through science partnerships and market-based approaches globally.,
Solaraide,Impowering sustainable solar energy in emerging markets for a better world.,
Advantage Capital,Catalytic investments in underserved areas to boost economies communities and renewable energy solutions.,
Dawn Biosciences,Protection nature and fostering a sustainable environment through science innovation and policy.,
Resource Environmental Solutions,Restoring ecosystems and sequestering carbon through nature-based infrastructure projects.,
Exponent,Engineering and scientific consulting for safer healthier and more sustainable solutions globally.,
Context Labs,Accelerating global energy transition with trusted climate data and high-quality carbon credits.,
Sky.org,Global grassroots movement driving climate action in over 188 countries.,
Aclima,Hyperlocal environmental data for healthier communities and a sustainable future.,
Generate Capital,Delivering sustainable infrastructure to power and transform communities across North America.,
Hydrokat,Hook-and-ladder-based thermal imagery for managing water stress boosting flood security and protecting the environment.,
Phaidra,AI-driven control systems for industrial efficiency reducing energy waste and environmental impact.,
Pepper Point,Empowering widespread EV adoption with the world's largest open charging network.,
Unison Infrastructure,Funding and managing sustainable infrastructure with $1.3B+ deployed since 2003.,
Last Energy,Scaling micro nuclear to decarbonize energy and provide clean affordable power globally.,
Redaptive,Enabling businesses to cut costs and carbon with real-time energy and efficiency solutions.,
Sublime Systems,Revolutionizing cement with zero-carbon low-energy production for significant global emissions reduction.,
Brookfield Global Renewables,Investing globally in renewable power and infrastructure to support climate resilience and sustainability.,
Muon Space,Revolutionizing climate action with cutting-edge Earth-sensing satellite technology.,
BoryaWare,Driving carbon neutrality in automotive solutions for a cleaner healthier and safer future by 2035.,
Fluence,Driving clean energy transition with scalable storage and AI-optimized management.,
Belyad,Revolutionizing home energy savings with appliance-specific analytics to combat climate change.,
Pivot Bio,Sustainable agriculture through nitrogen-fixing microbes reducing chemical fertilizer use.,
Key Capture Energy,Advancing large-scale energy storage for a stable renewable-powered grid.,
Sky Climate,Energy renewable-energy with comprehensive wind solar and battery solutions for a sustainable future.,
World Wildlife Fund,United for a sustainable future through global conservation and innovative solutions.,
Energpetrol,Accelerating energy-saving solutions reducing emissions and promoting renewable energy adoption.,
Power Factors,Accelerating the energy transition with software for optimizing renewable asset performance and collaboration.,
Ecology Power,Youth-driven conservation through local expert-student partnerships to inspect threatened species and habitats.,
Arbor,Building the future of climate-positive infrastructure one urban forest at a time.,
FlexGen,Advanced energy storage solutions reducing environmental impact with flexible software-first technology.,
The Acacia Network,Training the young green leaders scaling sustainable solutions around the world.,
